Begin Time (s),End Time (s),Scientific Name,Common Name,Confidence
0,3.0,Malurus cyaneus,Superb Fairywren,0.9434313
3.0,6.0,Malurus cyaneus,Superb Fairywren,0.5992266
6.0,9.0,Malurus cyaneus,Superb Fairywren,0.9980724
9.0,12.0,Acanthiza reguloides,Buff-rumped Thornbill,0.41515192
9.0,12.0,Acanthiza chrysorrhoa,Yellow-rumped Thornbill,0.10117218
12.0,15.0,Malurus cyaneus,Superb Fairywren,0.91014755
12.0,15.0,Psaltriparus minimus,Bushtit,0.29031506
15.0,18.0,Malurus cyaneus,Superb Fairywren,0.64538544
18.0,21.0,Malurus cyaneus,Superb Fairywren,0.59233046
24.0,27.0,Malurus cyaneus,Superb Fairywren,0.31662765
27.0,30.0,Malurus cyaneus,Superb Fairywren,0.25031465
27.0,30.0,Sericornis humilis,Tasmanian Scrubwren,0.1898376
30.0,33.0,Malurus cyaneus,Superb Fairywren,0.9432681
36.0,39.0,Malurus cyaneus,Superb Fairywren,0.4675821
39.0,42.0,Malurus cyaneus,Superb Fairywren,0.9923718
42.0,45.0,Malurus cyaneus,Superb Fairywren,0.6633703
45.0,48.0,Malurus cyaneus,Superb Fairywren,0.923993
48.0,51.0,Malurus cyaneus,Superb Fairywren,0.7520657
51.0,54.0,Malurus cyaneus,Superb Fairywren,0.95139277
54.0,57.0,Malurus cyaneus,Superb Fairywren,0.9125648
