Begin Time (s),End Time (s),Scientific Name,Common Name,Confidence
0,3.0,Malurus leucopterus,White-winged Fairywren,0.99516475
0,3.0,Prinia rufifrons,Red-fronted Prinia,0.24851239
3.0,6.0,Malurus leucopterus,White-winged Fairywren,0.9911102
3.0,6.0,Malurus melanocephalus,Red-backed Fairywren,0.4735183
6.0,9.0,Malurus leucopterus,White-winged Fairywren,0.8950827
6.0,9.0,Malurus cyaneus,Superb Fairywren,0.48504108
6.0,9.0,Malurus assimilis,Purple-backed Fairywren,0.46880525
9.0,12.0,Malurus leucopterus,White-winged Fairywren,0.96247447
9.0,12.0,Malurus cyaneus,Superb Fairywren,0.38612893
9.0,12.0,Malurus splendens,Splendid Fairywren,0.121682405
12.0,15.0,Malurus leucopterus,White-winged Fairywren,0.99860436
12.0,15.0,Malurus splendens,Splendid Fairywren,0.17293128
15.0,18.0,Malurus leucopterus,White-winged Fairywren,0.9952312
15.0,18.0,Malurus melanocephalus,Red-backed Fairywren,0.5578767
18.0,21.0,Malurus leucopterus,White-winged Fairywren,0.2478483
18.0,21.0,Aegithalos iouschistos,Black-browed Tit,0.13279937
