Selection	View	Channel	Begin Path	File Duration (s)	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	example/fairywren\Malurus leucopterus_White-winged Fairywren\XC859934 - White-winged Fairywren - Malurus leucopterus.mp3	20	0	3.0	0	15000	whwfai1	White-winged Fairywren	0.9952
2	Spectrogram 1	1	example/fairywren\Malurus leucopterus_White-winged Fairywren\XC859934 - White-winged Fairywren - Malurus leucopterus.mp3	20	0	3.0	0	15000	refwar2	Red-fronted Prinia	0.2485
3	Spectrogram 1	1	example/fairywren\Malurus leucopterus_White-winged Fairywren\XC859934 - White-winged Fairywren - Malurus leucopterus.mp3	20	3.0	6.0	0	15000	whwfai1	White-winged Fairywren	0.9911
4	Spectrogram 1	1	example/fairywren\Malurus leucopterus_White-winged Fairywren\XC859934 - White-winged Fairywren - Malurus leucopterus.mp3	20	3.0	6.0	0	15000	rebfai1	Red-backed Fairywren	0.4735
5	Spectrogram 1	1	example/fairywren\Malurus leucopterus_White-winged Fairywren\XC859934 - White-winged Fairywren - Malurus leucopterus.mp3	20	6.0	9.0	0	15000	whwfai1	White-winged Fairywren	0.8951
6	Spectrogram 1	1	example/fairywren\Malurus leucopterus_White-winged Fairywren\XC859934 - White-winged Fairywren - Malurus leucopterus.mp3	20	6.0	9.0	0	15000	supfai1	Superb Fairywren	0.4850
7	Spectrogram 1	1	example/fairywren\Malurus leucopterus_White-winged Fairywren\XC859934 - White-winged Fairywren - Malurus leucopterus.mp3	20	6.0	9.0	0	15000	varfai1	Purple-backed Fairywren	0.4688
8	Spectrogram 1	1	example/fairywren\Malurus leucopterus_White-winged Fairywren\XC859934 - White-winged Fairywren - Malurus leucopterus.mp3	20	9.0	12.0	0	15000	whwfai1	White-winged Fairywren	0.9625
9	Spectrogram 1	1	example/fairywren\Malurus leucopterus_White-winged Fairywren\XC859934 - White-winged Fairywren - Malurus leucopterus.mp3	20	9.0	12.0	0	15000	supfai1	Superb Fairywren	0.3861
10	Spectrogram 1	1	example/fairywren\Malurus leucopterus_White-winged Fairywren\XC859934 - White-winged Fairywren - Malurus leucopterus.mp3	20	9.0	12.0	0	15000	splfai1	Splendid Fairywren	0.1217
11	Spectrogram 1	1	example/fairywren\Malurus leucopterus_White-winged Fairywren\XC859934 - White-winged Fairywren - Malurus leucopterus.mp3	20	12.0	15.0	0	15000	whwfai1	White-winged Fairywren	0.9986
12	Spectrogram 1	1	example/fairywren\Malurus leucopterus_White-winged Fairywren\XC859934 - White-winged Fairywren - Malurus leucopterus.mp3	20	12.0	15.0	0	15000	splfai1	Splendid Fairywren	0.1729
13	Spectrogram 1	1	example/fairywren\Malurus leucopterus_White-winged Fairywren\XC859934 - White-winged Fairywren - Malurus leucopterus.mp3	20	15.0	18.0	0	15000	whwfai1	White-winged Fairywren	0.9952
14	Spectrogram 1	1	example/fairywren\Malurus leucopterus_White-winged Fairywren\XC859934 - White-winged Fairywren - Malurus leucopterus.mp3	20	15.0	18.0	0	15000	rebfai1	Red-backed Fairywren	0.5579
15	Spectrogram 1	1	example/fairywren\Malurus leucopterus_White-winged Fairywren\XC859934 - White-winged Fairywren - Malurus leucopterus.mp3	20	18.0	21.0	0	15000	whwfai1	White-winged Fairywren	0.2478
16	Spectrogram 1	1	example/fairywren\Malurus leucopterus_White-winged Fairywren\XC859934 - White-winged Fairywren - Malurus leucopterus.mp3	20	18.0	21.0	0	15000	bkbtit3	Black-browed Tit	0.1328
