Selection	View	Channel	Begin Path	File Duration (s)	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	example/fairywren\Malurus splendens_Splendid Fairywren\XC689328 - Splendid Fairywren - Malurus splendens.mp3	20	0	3.0	0	15000	splfai1	Splendid Fairywren	0.8899
2	Spectrogram 1	1	example/fairywren\Malurus splendens_Splendid Fairywren\XC689328 - Splendid Fairywren - Malurus splendens.mp3	20	0	3.0	0	15000	supfai1	Superb Fairywren	0.1098
3	Spectrogram 1	1	example/fairywren\Malurus splendens_Splendid Fairywren\XC689328 - Splendid Fairywren - Malurus splendens.mp3	20	3.0	6.0	0	15000	splfai1	Splendid Fairywren	0.9586
4	Spectrogram 1	1	example/fairywren\Malurus splendens_Splendid Fairywren\XC689328 - Splendid Fairywren - Malurus splendens.mp3	20	6.0	9.0	0	15000	supfai1	Superb Fairywren	0.5708
5	Spectrogram 1	1	example/fairywren\Malurus splendens_Splendid Fairywren\XC689328 - Splendid Fairywren - Malurus splendens.mp3	20	6.0	9.0	0	15000	splfai1	Splendid Fairywren	0.1771
6	Spectrogram 1	1	example/fairywren\Malurus splendens_Splendid Fairywren\XC689328 - Splendid Fairywren - Malurus splendens.mp3	20	9.0	12.0	0	15000	splfai1	Splendid Fairywren	0.9934
7	Spectrogram 1	1	example/fairywren\Malurus splendens_Splendid Fairywren\XC689328 - Splendid Fairywren - Malurus splendens.mp3	20	12.0	15.0	0	15000	splfai1	Splendid Fairywren	0.4197
8	Spectrogram 1	1	example/fairywren\Malurus splendens_Splendid Fairywren\XC689328 - Splendid Fairywren - Malurus splendens.mp3	20	12.0	15.0	0	15000	supfai1	Superb Fairywren	0.3120
9	Spectrogram 1	1	example/fairywren\Malurus splendens_Splendid Fairywren\XC689328 - Splendid Fairywren - Malurus splendens.mp3	20	12.0	15.0	0	15000	blttit2	Black-throated Tit	0.2299
10	Spectrogram 1	1	example/fairywren\Malurus splendens_Splendid Fairywren\XC689328 - Splendid Fairywren - Malurus splendens.mp3	20	12.0	15.0	0	15000	souemu1	Southern Emuwren	0.2194
11	Spectrogram 1	1	example/fairywren\Malurus splendens_Splendid Fairywren\XC689328 - Splendid Fairywren - Malurus splendens.mp3	20	15.0	18.0	0	15000	splfai1	Splendid Fairywren	0.9635
12	Spectrogram 1	1	example/fairywren\Malurus splendens_Splendid Fairywren\XC689328 - Splendid Fairywren - Malurus splendens.mp3	20	15.0	18.0	0	15000	supfai1	Superb Fairywren	0.1421
13	Spectrogram 1	1	example/fairywren\Malurus splendens_Splendid Fairywren\XC689328 - Splendid Fairywren - Malurus splendens.mp3	20	18.0	21.0	0	15000	supfai1	Superb Fairywren	0.8138
14	Spectrogram 1	1	example/fairywren\Malurus splendens_Splendid Fairywren\XC689328 - Splendid Fairywren - Malurus splendens.mp3	20	18.0	21.0	0	15000	splfai1	Splendid Fairywren	0.4015
