Selection	View	Channel	Begin Path	File Duration (s)	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	example/low-freq\Podargus strigoides_Tawny Frogmouth\XC816175 - Tawny Frogmouth - Podargus strigoides.mp3	20	0	3.0	0	15000	noccur1	Nocturnal Curassow	0.2380
2	Spectrogram 1	1	example/low-freq\Podargus strigoides_Tawny Frogmouth\XC816175 - Tawny Frogmouth - Podargus strigoides.mp3	20	3.0	6.0	0	15000	tawfro1	Tawny Frogmouth	0.5921
3	Spectrogram 1	1	example/low-freq\Podargus strigoides_Tawny Frogmouth\XC816175 - Tawny Frogmouth - Podargus strigoides.mp3	20	3.0	6.0	0	15000	noccur1	Nocturnal Curassow	0.1649
4	Spectrogram 1	1	example/low-freq\Podargus strigoides_Tawny Frogmouth\XC816175 - Tawny Frogmouth - Podargus strigoides.mp3	20	6.0	9.0	0	15000	tawfro1	Tawny Frogmouth	0.6920
5	Spectrogram 1	1	example/low-freq\Podargus strigoides_Tawny Frogmouth\XC816175 - Tawny Frogmouth - Podargus strigoides.mp3	20	6.0	9.0	0	15000	noccur1	Nocturnal Curassow	0.2973
6	Spectrogram 1	1	example/low-freq\Podargus strigoides_Tawny Frogmouth\XC816175 - Tawny Frogmouth - Podargus strigoides.mp3	20	9.0	12.0	0	15000	tawfro1	Tawny Frogmouth	0.6827
7	Spectrogram 1	1	example/low-freq\Podargus strigoides_Tawny Frogmouth\XC816175 - Tawny Frogmouth - Podargus strigoides.mp3	20	9.0	12.0	0	15000	noccur1	Nocturnal Curassow	0.1872
8	Spectrogram 1	1	example/low-freq\Podargus strigoides_Tawny Frogmouth\XC816175 - Tawny Frogmouth - Podargus strigoides.mp3	20	12.0	15.0	0	15000	tawfro1	Tawny Frogmouth	0.9244
9	Spectrogram 1	1	example/low-freq\Podargus strigoides_Tawny Frogmouth\XC816175 - Tawny Frogmouth - Podargus strigoides.mp3	20	12.0	15.0	0	15000	noccur1	Nocturnal Curassow	0.3834
10	Spectrogram 1	1	example/low-freq\Podargus strigoides_Tawny Frogmouth\XC816175 - Tawny Frogmouth - Podargus strigoides.mp3	20	15.0	18.0	0	15000	tawfro1	Tawny Frogmouth	0.9252
11	Spectrogram 1	1	example/low-freq\Podargus strigoides_Tawny Frogmouth\XC816175 - Tawny Frogmouth - Podargus strigoides.mp3	20	18.0	21.0	0	15000	batnig1	Band-tailed Nighthawk	0.1551
