Selection	View	Channel	Begin Path	File Duration (s)	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	9.0	12.0	0	8000.0	whwfai1	White-winged Fairywren	0.8987
2	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	27.0	30.0	0	8000.0	whwfai1	White-winged Fairywren	0.7296
3	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	30.0	33.0	0	8000.0	whwfai1	White-winged Fairywren	0.9501
4	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	51.0	54.0	0	8000.0	whwfai1	White-winged Fairywren	0.8430
5	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	87.0	90.0	0	8000.0	whwfai1	White-winged Fairywren	0.6808
6	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	114.0	117.0	0	8000.0	whwfai1	White-winged Fairywren	0.9438
7	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	117.0	120.0	0	8000.0	whwfai1	White-winged Fairywren	0.8546
8	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	150.0	153.0	0	8000.0	whwfai1	White-winged Fairywren	0.8117
9	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	153.0	156.0	0	8000.0	whwfai1	White-winged Fairywren	0.3211
10	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	180.0	183.0	0	8000.0	whwfai1	White-winged Fairywren	0.2367
11	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	189.0	192.0	0	8000.0	whwfai1	White-winged Fairywren	0.8577
12	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	192.0	195.0	0	8000.0	whwfai1	White-winged Fairywren	0.7830
13	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	222.0	225.0	0	8000.0	whwfai1	White-winged Fairywren	0.9635
14	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	297.0	300.0	0	8000.0	whwfai1	White-winged Fairywren	0.9182
15	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	315.0	318.0	0	8000.0	whwfai1	White-winged Fairywren	0.7688
16	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	318.0	321.0	0	8000.0	whwfai1	White-winged Fairywren	0.4141
17	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	327.0	330.0	0	8000.0	whwfai1	White-winged Fairywren	0.8931
18	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	411.0	414.0	0	8000.0	piebut1	Pied Butcherbird	0.2472
19	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	417.0	420.0	0	8000.0	piebut1	Pied Butcherbird	0.2799
20	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	420.0	423.0	0	8000.0	piebut1	Pied Butcherbird	0.3022
21	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	444.0	447.0	0	8000.0	piebut1	Pied Butcherbird	0.4246
22	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	471.0	474.0	0	8000.0	ausmag2	Australian Magpie	0.8571
23	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	477.0	480.0	0	8000.0	zebfin2	Zebra Finch	0.2484
24	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	480.0	483.0	0	8000.0	zebfin2	Zebra Finch	0.8318
25	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	483.0	486.0	0	8000.0	whwfai1	White-winged Fairywren	0.5952
26	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	489.0	492.0	0	8000.0	whwfai1	White-winged Fairywren	0.9774
27	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	495.0	498.0	0	8000.0	whwfai1	White-winged Fairywren	0.8415
28	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	498.0	501.0	0	8000.0	whwfai1	White-winged Fairywren	0.8986
29	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	501.0	504.0	0	8000.0	whwfai1	White-winged Fairywren	0.7539
30	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	504.0	507.0	0	8000.0	whwfai1	White-winged Fairywren	0.9050
31	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	507.0	510.0	0	8000.0	whwfai1	White-winged Fairywren	0.9139
32	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	528.0	531.0	0	8000.0	brofal1	Brown Falcon	0.2997
33	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	579.0	582.0	0	8000.0	ausmag2	Australian Magpie	0.3234
34	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	669.0	672.0	0	8000.0	whwfai1	White-winged Fairywren	0.9596
35	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	672.0	675.0	0	8000.0	whwfai1	White-winged Fairywren	0.8244
36	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	687.0	690.0	0	8000.0	whwfai1	White-winged Fairywren	0.6966
37	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	723.0	726.0	0	8000.0	whwfai1	White-winged Fairywren	0.9059
38	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	726.0	729.0	0	8000.0	whwfai1	White-winged Fairywren	0.5936
39	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	735.0	738.0	0	8000.0	whwfai1	White-winged Fairywren	0.9447
40	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	846.0	849.0	0	8000.0	whwfai1	White-winged Fairywren	0.9787
41	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	849.0	852.0	0	8000.0	whwfai1	White-winged Fairywren	0.2041
42	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	894.0	897.0	0	8000.0	whwfai1	White-winged Fairywren	0.9624
